block_number,tx_hash,log_index,fpmm,seller,returnAmount,feeAmount,outcomeIndex,outcomeTokensSold
15991327,0x8baf54f30f3640efccf1df014aad895e68977f299df665434e834e3f48390ce2,108,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac,468874,9568,1,249999469
15991328,0x74b5d2667f7ddb67621e10e30430051e1700583a9464fc84fdcccaa26ba20a9f,107,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,2034400,41518,0,499999842
15991337,0x23d7806c4f1ef71587166dc1c9afad315d7131bd899e4c5dbf1eb3ca1a14f61c,175,0xc33cb94861d63c47fdab2419f82ba54aff667540,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,2947557,60154,0,998999604
15991347,0x23155249547c7f5c001cb7d2d6da71333f1134072c8518c9bd78a1396513cf1d,132,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,14899284,304067,1,10000000140
15991359,0x6c2d848f59ffc750369ae72bc092d6f380d8b3066634e661c7d2af7d2248d116,190,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,11048972,225489,1,11399999858
15991367,0xf9ed4186efa5990e8d8a98257360bc6127262049d94f29e37b4f52d958fd2daf,363,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,17520,357,1,22221604
15991390,0xb8c95e890c9d12c09f98ef69335e90541a4110368642a905752df7175d96a216,183,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,57506,1173,0,19718180
15991417,0x19db8dc2c0fe11209b07e682b2795d46b20c46408a15d9ee5079d78aa5fe44ae,389,0xe25fc2faa77cb4ec7312466fcc104edb02596831,0xe834edad3c89e41243c796d37f262541d65f6da5,110167617,2248318,1,300065830
15991430,0x04e4b78bd85f64510a150ff5a19ada91d343b89b48b3804f6763bed0400c6e51,263,0x1a40fdb67928462b7f1bfc4501957d144b5705e5,0xc86414897d4f2ad767d1f87723097c894f9060ca,10998652,224462,0,17327013
15991457,0x7d05816228fb529c4f9eeb5a4728ec92064f92ba983bd68cb45a5d9d3a47df8f,200,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,1133154,23125,0,499999636
15991467,0x50643ca07c18be3a3e956089572db8902d932ce947f8e421c351da639941d855,123,0xea4755343d9fcf8583b80e896c2583ffc1b70611,0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b,732698,14953,0,500000291
15991500,0xc49def328a9591382fab01daa2d5dfd7ba90d34a499f068ca32c7e04f9c120c7,320,0xa19c5149ac635190729552346f2b85e56dd5de0d,0x85ea5dda3f887e3aaed5db4dd89cc7876c6c5205,10016532,204419,1,20099974
15991602,0x5dffc228c66ab023715a696b49ed15de14254c8f921c9397f7e65b5f333052cb,104,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,85239223,1739575,0,1699999983
15991611,0x9460788fa2617ebdfe6787d1357bafbb1744dc240b228840dda160df193f41f4,125,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,442387,9028,0,8999991
15991766,0x4eb01b127c4cc6ffb65a4ae7ee460f7b9602cf84dcd8c394a5923f37f2edb0b3,127,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0x932e564acc849074725204b8925ecdd41ec06903,796035,16245,1,1026998643
15991890,0x87c859cb7703b2e20853eb214adc83257b6b144658a8708bb35489845fbb0fe1,362,0x16d56545ac8b949cc2a90c5540682174fae9bbfd,0x932e564acc849074725204b8925ecdd41ec06903,20989453,428356,1,100000000
15991963,0xe6634699f4c6ee497a8273278488741fed3d41ac2d673283841da789009d1d91,134,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xd49c4579bbc25d1d1a26a1976c9576d806c98150,27514540,22029,0,521602204
15992171,0x8c9e62ffc3a1d088ca9a240cfe14db0828eb1c97f127c7294879df7a13d77bb5,238,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xd49c4579bbc25d1d1a26a1976c9576d806c98150,114011350,91282,0,2242638789
15992213,0x0213b7eac646820cddd90a6c2c201a1448dad0cb3a2c233ca0e6c04d94dc46c1,309,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xd49c4579bbc25d1d1a26a1976c9576d806c98150,66055354,52886,0,1309006377
15992218,0xf5a696fbc8cbe70c7dbaf97d2468980a822612f29b296ac7d9b358d7d151a237,486,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xd49c4579bbc25d1d1a26a1976c9576d806c98150,168862280,135197,0,3379079611
15992422,0xf848acae14d79b755a4a8f6a0db4bc1e1c2c47a040f9617b89f4ea44d82bd424,666,0xcb513d589d3e3b463788fb2b764b7d5cd3aaaf3d,0x17d52f570a5ffbe528270700aee3634bc23396db,6243862,3123,0,49999999
15992475,0x3205d24c11686b6a8afb6768e87f5c2debe2e5479ece28c06df1e965adccbe53,182,0x907a2cf154e58c78433a46fc8b897fdcad230ea7,0x1d330b1a2d9b29937121c912f39b45952ae891ad,6678831,136302,0,389654174
15992861,0x66fb3f7b69dfac29c6221e5832832266e7dd60fae85af6baf36671bd9da3aa5f,194,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,99538168,79694,0,1961411354
15992866,0x2333161af4203235f1c756e82b0a9c564905b8e81f801488301777f55bdf869a,289,0x2805113522e4b70c38da73afc52f24e00ce5adf3,0xe834edad3c89e41243c796d37f262541d65f6da5,90762165,1852289,1,256654955
15993005,0x2941eee8547cc1bfacaf9c3724aa14e1be74d2fa8296b893514f5228e568b075,155,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,98726863,79044,0,1961411894
15993011,0x61da6551d65c9ff635376aa7efbc038ce649bd011d25008b30b8b04dac720ad6,211,0xb4bb481aa3e7925384619180b71bbc482420c9f3,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,33974,693,1,999966
15993072,0xfaa7869bff16f1d358e23d3c0669ac1e2fef5c9c25c2b2cf568a5f42a0c1f22b,295,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,97924918,78402,0,1961412429
15993151,0x0a4f732475d4b8bc2f3dc3eaccccf7a46d4a147bc345ee7ee7e940b470a0fbd9,593,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,54609533,1114480,0,1048000000
15993188,0x35ee42f621e049303377bcf555317bbc416f0fd41faa8b728e1ec586fc8b7a0b,252,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x932e564acc849074725204b8925ecdd41ec06903,99035198,79291,0,1999999989
15993209,0xb362463951c992d5401e7c897e1e4b806c9ee97ddad3f760efa192222a495f60,275,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,53956513,1101153,0,1060999985
15993215,0x4253e3b8105fb31720cd886865e60d3b6ae52e8af930ac5fe94a4c53cdf84194,185,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,96413665,77192,0,1961413455
