block_number,tx_hash,log_index,fpmm,buyer,investmentAmount,feeAmount,outcomeIndex,outcomeTokensBought
15991304,0xc7371499d239cfa5fa3d737d1b870a5d6b92a4f60912c575bde69782c83ef4e5,401,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x7f2de588e3d990d66fef63bf2378dacc87a139a8,111000000,2220000,0,2187922680
15991328,0xb7e2127879be9fb9a1b22749df1ac9919c71275ba73db2523a31ceae5e4cccb5,122,0x76908fe238c47d6b0a864354c3e8e60e42c3d0ac,0xff5769cf7801aa9aeb4ee6cae8cc652bc4049b94,50000000,1000000,0,244210066
15991372,0xd98ad0542fbf07bf9d3a6233d0259079bfaf367f6aa98f9d09b74010c06e0f4a,434,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x7f2de588e3d990d66fef63bf2378dacc87a139a8,55000000,1100000,0,1045260527
15991397,0x76663e5a1db9aad6b9a87617f30a68f50fc289336681f05662dd13b3c1a5b03e,209,0xe25fc2faa77cb4ec7312466fcc104edb02596831,0xe834edad3c89e41243c796d37f262541d65f6da5,1000000,20000,0,1593665
15991447,0x9b367f466d757a039b9f6faa07b7a22710bdb659b13fa10b541e84b16705c653,155,0x1a40fdb67928462b7f1bfc4501957d144b5705e5,0xff5769cf7801aa9aeb4ee6cae8cc652bc4049b94,50000000,1000000,1,138888868
15991449,0xe289a8dc14f4a4c9ff4715847e3ab0f42fb34f6e7ece1edd2db10bae15087f2a,222,0xd1278ee91633a063e24681bc728223a1a70dac03,0xc86414897d4f2ad767d1f87723097c894f9060ca,10998652,219973,0,11548379
15991507,0x6db165bf627e3625b5904ed4d018580da01100791de8410e9e887d52ca3d76e3,201,0x392845b73fe8975cb2bdf9cf09af0811fc6ee9e4,0x07c4f39862e865e6f9d307f1df5e6c24367d2c5b,10000000,200000,0,29275454
15991744,0xdd6bb6314b7b3a11444ed2dfa3f3228d1b289ed3c459bb719028dd383a3e11c5,499,0x16d56545ac8b949cc2a90c5540682174fae9bbfd,0xc242f863ae38e1f6e2cd7332a00a6343cfa62de1,45000000,900000,1,209594635
15991890,0x5ccaea6e614c475a944db18054620e4985f8760be4b0116c9a8d895d4fe843e7,509,0x563c16bcbf78753a2e659260ecae626e8c8b46f6,0x17d52f570a5ffbe528270700aee3634bc23396db,5000000,100000,0,21572188
15991968,0x980a2a02ee6929e3cc653212643eb747c88666f181b8e6e9033fdc52a3b33dae,651,0xf1ff648170dc1a2559a941916eeed6496501f93b,0xcb8a9b9672ea9de086732a1bb928729e8f5564c9,5000000,100000,0,5630158
15991975,0x24e447bb58eb337ef89b4729abff72f30afb0f2c35f3a0fb07b388e9385a8daf,336,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x807a2d05e30d6bfb643a415437d4938c7d3e1d70,7000000000,5600000,1,7377435919
15991986,0x3dcf54ef8d602b7ebc1906b8432d4dffa3cd1120760caac20a3e069f1d1d2641,385,0x563c16bcbf78753a2e659260ecae626e8c8b46f6,0xcb8a9b9672ea9de086732a1bb928729e8f5564c9,5000000,100000,1,6539791
15992175,0xc454c9a1cafbe8bf48a3395f6da3388c0382b5bd3ad54eba338e02dc9b64f3ff,631,0xea3b684f704f0b2325088251cfab2646395f3a4b,0xcb8a9b9672ea9de086732a1bb928729e8f5564c9,5000000,100000,0,9308011
15992432,0x10c604fc31e896cc99607a7de081573d79e21c6e9033529577a659bdc2989736,574,0x7d362c6b397b16d0fafeb07ed381293c83d4bc7e,0x1e8088a562278fed0c7558cc974bc4cd4b40102d,83870000,1677400,1,99998326
15992435,0x4e203679d488b92b59d3d155d02295396c69945424ef454fa13bf64090eaeeaf,495,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,999000000,799200,1,1050246124
15992435,0x07ef7797551f75dffb6ce5fad08b081b1d85668bbc37bcd2e507921ee4b72467,580,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xf769bf34227c8f5d68c42af1868b107510d1235e,2000000,1600,0,40410945
15992435,0xf23404fe030381df07ce4eff992a43efe8412bce1c40e91b448d0bb21e96abbb,744,0x1a40fdb67928462b7f1bfc4501957d144b5705e5,0x4e80e94f2ee9919a5bc7f5eaa61ae984dcc6089c,350000000,7000000,0,528908690
15992455,0xe798bd057cfc5e4818a8b8f9d2e33be9ce975b856460707470dd2e426e87f26e,375,0x76908fe238c47d6b0a864354c3e8e60e42c3d0ac,0x4e80e94f2ee9919a5bc7f5eaa61ae984dcc6089c,250000000,5000000,1,306151925
15992466,0xff07293f228ca2c6d55896db70f1c74191b254749d3563ce3f09c766a8f6a405,453,0xf51250d5762690ee8dc63ee0ecb4a1e830bc57aa,0xcb8a9b9672ea9de086732a1bb928729e8f5564c9,5000000,100000,0,8862001
15992509,0x3dd2a8c6ec0b21be8be6e04a43975e81ad0ee69afca81427d5176479bd7c066d,387,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0x807a2d05e30d6bfb643a415437d4938c7d3e1d70,370800000,296640,0,7377433565
15992608,0x53ea36627c42401e154fdcce9d85a6926b2114347ac442b32d26121c2f8e75b4,352,0x06d735f3f0a6e6da6d001a96e6a524da6eb07823,0xcb8a9b9672ea9de086732a1bb928729e8f5564c9,5000000,100000,1,6235467
15992680,0x30e93177369c4e51f988995ddf7c716d1e79c0d5ed51191d5e8ff827ec7c99fd,679,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x7f2de588e3d990d66fef63bf2378dacc87a139a8,111000000,2220000,0,2118072031
15992734,0xe32f284e7f0e05e13d32abaf92d1561e685061519d2b920f7d26877e2a515126,603,0x4a740a0d4bdd77060765b972423d04fc8eee6100,0x7f2de588e3d990d66fef63bf2378dacc87a139a8,111000000,2220000,0,5488553882
15992826,0x0485d19f456450ac72e0f3e6c892bdc3e2a0d85d30e0b98f433976c6f86546ef,504,0x2690000e40f746dad3157f95848cecbe5857dd5b,0x7f2de588e3d990d66fef63bf2378dacc87a139a8,55000000,1100000,0,1013133073
15992891,0x35626e910b0a9cbc29babc24686786ad93a4b9f57bb17f0f8a56c448c3f3aff6,411,0xb4bb481aa3e7925384619180b71bbc482420c9f3,0x0b953e4b70d5f1b32e189433a1583b4f8381b516,1000000,20000,0,1015196
15992968,0x586bf84ca41deb487f95fb783e565dd3a0d14112588bfbe9668914773eafc331,347,0xd1278ee91633a063e24681bc728223a1a70dac03,0xb5fc4d5388952dc7a798fe784fe659f9a20e5ca4,68006,1360,1,1000001
15993127,0xb79c7dba71a59273ad259d87f7d69fe02ad66b622dcac3dc16c7f75529605e63,417,0xe25fc2faa77cb4ec7312466fcc104edb02596831,0x4f70929ba287ac85dc2431c85382ccd9e6b0d185,10000,200,0,15417
15993127,0x0b0e8cda0f7910210459dfc7bc924512071cae98fd1210739789b6248263c325,681,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,1000000,20000,1,1234846815
15993127,0x4b6a7a09ed20750579443864cdd50d509343b575f0bc01e0aa42644ce90165e7,848,0x514e63f5cc8a03d4afcef8c67770ec733409171d,0x932e564acc849074725204b8925ecdd41ec06903,222000000,4440000,0,1511521417
15993170,0x086c365370fef08121f423ff0b84cedeed38cc2b08bb51823033508e9926c3c4,464,0xa19c5149ac635190729552346f2b85e56dd5de0d,0x1e8088a562278fed0c7558cc974bc4cd4b40102d,26054000,521080,1,49995101
15993188,0xf04d4f1c8845c38da06c7fcfc004a222d9b233e45ad5ad457a15654175d9603c,241,0x392845b73fe8975cb2bdf9cf09af0811fc6ee9e4,0xd82e6c333a3584f42348f604dbea55df5d224e06,100000000,2000000,1,143163832
15993200,0x327a2d36eba75aa05968c18a98a5d5c281999ef312e62f5794c8d99bea66c402,58,0x9036e8c496dae179d844dd007bcb65c2f01fb811,0xbf66d87a5aae0de6c5019b03fea5e9ebcae40c9b,10000000,8000,0,202376736
15993245,0x767c09e8f74c2fed52ddcfe1883487ff13017d966667ea5cd00f2ce0da966f65,454,0x392845b73fe8975cb2bdf9cf09af0811fc6ee9e4,0x932e564acc849074725204b8925ecdd41ec06903,45000000,900000,0,140028905
15993288,0x6431f329bc62d8e8679688816b885d0669b1c5b8554960a334a8ee722052a80c,156,0xffac089ba64b188b0da740b9f364c9f7f6fecfa9,0x903221b1098263779ae19486028c844e8c338717,1000000000,500000,1,1081369154
15993298,0x74a5e9ff3f3a203795b6c37b2fbf5d116528b479ed88a4038a1c962ebeca633a,482,0xeece486cb81a7e2aa231e76dc7b7972a1b81e98c,0xeb914a1ccf7475232fa078f8121e9c8d2c4a4002,1000000,20000,1,1186803650
