block_number,tx_hash,log_index,exchange,takerOrderHash,takerOrderMaker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled
74999230,0x1a1346dc35da48f7704a3c1f5de2db576b74ba83bf544725dfc23889d9306c90,925,CTFExchange,0xa72fcaa2c016d0e0453e5b1ff3640cc77ea314e1588c1b1d66c86fc84bc08e96,0xab4d62e26a0291f7aea3852bb700d0a2cb2c6546,60652137523181125168482146963718096562535021607381944009168391719481583056075,0,75000000,74250000
74999230,0xc4fcb6729d329c2c1390cce528ac45916ea8863799cb9ec9de6fd1db5234bd88,959,CTFExchange,0xb43ddf57363907d6e6313e1d6a616bfffd4b267bd1a047b7d6945577a3843c53,0x0a71e895d101d8e852cd203f62dc4e0f83bbf9c9,0,45268984206528684008656138445174696487413496817965370072225934538822928904287,13999998,18421050
74999232,0x4a5e861d590fc678cafee19acb6b0812c97d83d3848fb9bf18add01dd0f8a69b,1396,CTFExchange,0xb6433235f12454500fed055040845cd8d620c42831544a67d675b872badf1a97,0x7c9df67aec7b97d6f6ed1b433dedb9a03093acff,60652137523181125168482146963718096562535021607381944009168391719481583056075,0,50000000,49500000
74999234,0x98b4523fb2f34a7bff3b8575e6fab7af909f63901923b4a77dbeee73e72dde65,212,CTFExchange,0xd5e084a42ebdb69c6048a0940d45410a8358cd5beac6ce91525fc646f4df8b02,0x7d7e7f62b28bdc6597f7575ec3792ad04dcbd0ea,0,74251042998385759066740311324970287755356656259333096710320534391449216682383,12600000,20000000
74999234,0x049b69f1d8f5c177c3f90c77853341dad439ab1fe57836df6526c0f446743e75,226,CTFExchange,0xf7a7444e102669bb5bb4c79840163888445e294eafed6083ee902aff55fc51f7,0x5cae489b0be0523793ccf95250c776c75763bf20,0,74251042998385759066740311324970287755356656259333096710320534391449216682383,12600000,20000000
74999234,0xdf0cee495a0d9d0ca93841fb254e898046f8f1b683354b1efe796bfed46b1701,240,CTFExchange,0x7b62336caadbc99aafdec85572c5e2be6454f7b352479f5ddd4f437ac54fdfc0,0xc24f69cb0f333eb0c1dd72e4f4898d212fbbaa74,0,74251042998385759066740311324970287755356656259333096710320534391449216682383,12600000,20000000
74999234,0x89842ea44949fb9b6acf40a15c3ddbe6066f3c1b0edf4bd6cd187b27926c9f4b,254,CTFExchange,0xfd4222f87df47442353204d8c77d568cb1055cb0f0bcb361671cfc1ce0d6b30f,0xc12dc12044545974ead36cf2b07d9ed52d599964,0,74251042998385759066740311324970287755356656259333096710320534391449216682383,12600000,20000000
74999234,0x54710c93fbfaa8138fc0177163cc7f3b1216fd28b720a096eef3f640a80badd7,271,CTFExchange,0x7a7cf6e266edbf5b449c2e326de1671c9cb75fe1d65892ac88be30cf0c211585,0xb0d7480a7a75026ec76dd92ac382bd66dda2f9fa,0,7008282006866458140866396355428125942634031295816028337087393500680287396704,392630000,497000000
74999235,0xc788f1f998c84a11a2163c3575bb9deca247657f460b8aeb9de05aceab6d0e04,1105,CTFExchange,0xdf0e0dd1164b0fe1c571691daec5a8bee905e57e481c436476a4fe4c2ccd3dab,0x689310057cacddbf3961a97cad2e0e6a8b7858c6,0,74251042998385759066740311324970287755356656259333096710320534391449216682383,12600000,20000000
74999235,0x024ebf50dc64d76456a9f42fddc3307c9126e1575088ddecbcdede1a4f63e5e8,1134,CTFExchange,0xebf3c6584fa7cbf62e12e9b14eb9965aceffce8e23ff80f30185ecbd477b7033,0x6392796698c59791c064aa5a147ea2819d5314fc,0,54737558260404525405572384430471789437147374222311043010492297174036867780816,55599999,132380951
74999236,0x8ab30dbae7526522e25d7faf154117b2b5d456a65d60584db748d0cccd3ae555,583,CTFExchange,0xcb4a10ebe1bcbaaf34c27f4217f745ca1b4e5a20ef761d284fb8ccf237c743de,0xd189664c5308903476f9f079820431e4fd7d06f4,0,72213402545998769711123636766651921655153165755936317649722665600548281920234,162000000,200000000
74999237,0x698924cd695340ada414dd2a6f2d884c8c6bf2ea03cde4750e088c23793d990c,561,CTFExchange,0x3388bfccae1fae5c0876484ca634bf320760336fb89b05e2d23dd9806211d851,0x38c750207c8175cccfc51fd4c4171c161867c025,0,72213402545998769711123636766651921655153165755936317649722665600548281920234,19999998,26315787
74999237,0x1c3260656bf79b2d9ba226cd43f46ce4ef74a820715dd1fae8d7e07957e325ab,590,CTFExchange,0x90da814df3885c1344cece03dd3ea760502f2f4b6e7ab382e0ef591c6f91c842,0xaab343797e7ac00e5a14f0131eddfb3e90b1d0d9,0,72213402545998769711123636766651921655153165755936317649722665600548281920234,4999998,6578945
74999239,0x795428b8c135c72fea303cee9ff4d8cc9b89590ba2b222b038ce1f8cf26003a0,321,CTFExchange,0x492d2c991e8061af538d617a5ccbabcabfb2744f7e1abc3f2e8bf18cc4b85dda,0x958d9cd4068fa578781073c2d66099865e543501,0,104071616575689490708756996503755160411785604144351427331378560378097635400347,40039998,58882351
