block_number,tx_hash,log_index,stakeholder,marketId,indexSet,amount
74995448,0x154736f5252fa4eb13763256d57a32a8a01efaa57cb42c06ddeff125430b9761,631,0xcd91a549956854fdc38efad7e80ff5da8f5432b8,0x0988e77ed51d8e78f5a210eeb5b18cdb04fe71132ebda6d4217229b0a1742a00,63,69000000
74995460,0x0422af273c0cd8b503b1341abfa194403903ead0b2adeaa9ff023e348b36b2cd,675,0x8e9eedf20dfa70956d49f608a205e402d9df38e4,0x7971728ccf4866d610621f7b8af18b78c1649e6f2c28ce2073d54af61be42600,64,52020000
74995471,0x863cfde6c18272dbf80f6c7f6b2281ceb36470db62ee15a8d568da339d1a164c,279,0xd218e474776403a330142299f7796e8ba32eb5c9,0x40a82019d6137f329d0c0c994a3588b6439e98a1b4ff69ba9c9b1a83db2b9000,15,200000000
74995482,0x1638485d92ac67e3f6a3c770244a1aba56fca86a47b85cb63a77d9ea74146fb6,625,0x2a315a8d15cfde768bcd47ba5cacf3ef5894f2f0,0x154aa7d4f4e5e7dee1604ca6f88c0964a5f0e7f13ec9ffd896b9e12a47a26d00,124,60000000
74995556,0x45689ed89ec67d7cbde1711d87230c3f8070a26cb19bc3149616b3008759180b,369,0x7740253843b20007a4c99c3766878351002acbcd,0xac59a30c1eb00658ffab6102c8053d4bf1ee367fa375e1859b9fffa39279d900,148,16014833
74995558,0xdb5b9883d7fa03aa605c9496f0f9abf830dff9c77c00a4c70db8d3dbf1b67973,690,0x7740253843b20007a4c99c3766878351002acbcd,0xa69729ae3d9838ec5754e0f74bf57dedd5ddbecd9e31b15a04f48f081168ba00,261,36078141
74995708,0x658efba845161d393f896898d9da5e5ec5322e7b1e5ca2179eb2aef4642329e1,439,0xd218e474776403a330142299f7796e8ba32eb5c9,0xac59a30c1eb00658ffab6102c8053d4bf1ee367fa375e1859b9fffa39279d900,2047,400000000
74995721,0x69dbeef8ff73218b8ff012b58be7dfd37edb2f37f192fa5141b0bb487dee08d3,535,0x9be90ea78bff3f81f3564a11d5e12b2a0783c030,0xc8f80ae8e6e986ec49fb1c7183606ad487f329392b12be77845a7f54d0879200,549755813887,17450000
74995778,0x0de04dafc3a2a908e813369ec9a2c6bb968a207d6a859ec835c6ce4fe4a18449,398,0xcd91a549956854fdc38efad7e80ff5da8f5432b8,0x50096938b79cfb53a22f83ef28dac0360c0578d90ab42f137e35ecb2cafce300,127,64000000
74995804,0xd1f674109503c69b89c767ea0ab5f5d90500a94e51d9678591da1d9df8541f83,681,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0xa69729ae3d9838ec5754e0f74bf57dedd5ddbecd9e31b15a04f48f081168ba00,511,20000000
74995830,0xc5a7e80c65ebe0e1bde257604752f9c020cc1c89fe6e159dd7d171cdcd1825d2,509,0xcd91a549956854fdc38efad7e80ff5da8f5432b8,0xf97582f8cb131d8b67b30366a55bbb970dfd22a317e38a4af7cfb9cb6532e300,8368575,44940000
74995875,0xad9af560a0798210e4cc9579e7be39cb2eba2ecebd40081785da1680e22ab198,927,0xa61ef8773ec2e821962306ca87d4b57e39ff0abd,0x85d7c9f6da343d5a539c59944f98ba6876fb01c699e4c788ab8c7454f51d1c00,2,129551564
74995926,0x98d8646963ce365a2da6a4f4aad3d577caa85174eeb4f421b73525c4a3bac2ba,360,0xcd91a549956854fdc38efad7e80ff5da8f5432b8,0x40a82019d6137f329d0c0c994a3588b6439e98a1b4ff69ba9c9b1a83db2b9000,13,17000000
74995930,0xb6d7c3415da30df8c5fcf6bb1e2d8a42217af78b174ec8e8fb566773b57b7f86,72,0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c,0x40a82019d6137f329d0c0c994a3588b6439e98a1b4ff69ba9c9b1a83db2b9000,3,66980000
74995953,0xa32bf5eec4c6fdd87aa55405bbc062bfc5a269c7aba82b52ff2aac2e87837597,769,0x2a315a8d15cfde768bcd47ba5cacf3ef5894f2f0,0x40a82019d6137f329d0c0c994a3588b6439e98a1b4ff69ba9c9b1a83db2b9000,15,71470587
74995962,0xc08f082b52e6bb4a2fc3dd9d4ff2dbd4a3b039552275653929dcc75461310528,520,0x7740253843b20007a4c99c3766878351002acbcd,0xa69729ae3d9838ec5754e0f74bf57dedd5ddbecd9e31b15a04f48f081168ba00,257,13104192
74996012,0x13aaacc09acf9bc17de7c935d45fca8fbbd449d824d61e2fcafa0632acdd38b7,433,0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,0xdd04589f3f48ac08dc54b5ade17d97ad255ed2850778c961f0cf8cbb5a908600,127,26000000
