block_number,tx_hash,log_index,conditionId,oracle,questionId,outcomeSlotCount,payoutNumerators
74995513,0x3fcda5406baabc727457ad66d2d8d93bb6ee946dc978d05625700b75e2efece2,1228,0xfe3700e7d947902cd23279a6beb1f725a455e70599cbf2e20e636fa87154130a,0x58e1745bedda7312c4cddb72618923da1b90efde,0x8d3612d09a820fdb07cef11634ba32cbe580d844218fbc5bb590e7682cd89c8e,2,"[0, 1]"
74995517,0x5b558fa891077211513ce3cd060a883e1cf0b255ed4fbe751288794f2c87f0a0,760,0x2aa4c2e95f260655ece3fdc2caf3eb22e39e1c708c5129f2f390ba75bbad1028,0x58e1745bedda7312c4cddb72618923da1b90efde,0xd91128fc874150554989dfa43381de4a2e75b215b85d4c25f6cd725e11b6dbfd,2,"[0, 1]"
74995624,0x5ecc9d8940bfef10374dfc672fd531c61270297fdbf2fc1c733d73b2f907aa6f,469,0xbdf93d41618989fc772673402b363e5e7c154174f7e1f1571e2fbc87b34848d1,0x1754f0f64de768f3c7c5f9335ff1129db2c14a40,0x51e4736761c362b2c1e47990db8bd8646334c33b36e03ff5b829a0263053e032,2,"[1, 0]"
74995627,0x8ebd7c8cc21ec669805dfcc59390d5c676bc3b336084bc41f720d6bb6267fee2,376,0x5ebb80404e98763fd1ad83aee492fddfff42c4835bfd9f93f2839b4fa772ec83,0x1754f0f64de768f3c7c5f9335ff1129db2c14a40,0x2a8af5fa2635267419a078b17e67c6d171b0725cc36671d0ef1bf3beb13c3225,2,"[0, 1]"
74995889,0x6954274b55ae5a0421a5dbc17da6885a3fa4e5752c653eafdc3c3517bc623884,8,0x35c96e5bedc1bf51ff54b357559233aa3eab489e0c30e645492596850d41d4bb,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x560ad2acec1f1788066387ef099227bfe51e72f13e5c9c326e28a0ee6a49cab7,2,"[1, 0]"
74995918,0x13d5b88143a957f45886d0553b131e35a0245a655d639649355df903ffe2e141,2,0x05cde4128c2134e101d1b7feb9aa7faa15388f7b6381eedc43f33b3a4233c157,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0xc0f88d903113dfd5d311fad589c12f0d682c58eac5cd647bc173f0cd315e9a84,2,"[0, 1]"
74995918,0x5801f73b26b81d6d46ff51bd90671391caeeaa906c8aa0bc9a5626cc6af4b4fb,7,0xe0839bbdc5c6302ee421d59a5ef04ceb06cf10f483c0c80022270a0d360bc2f9,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x53ad07af15d3e21a60979d1b11d02b58a57b45b6a8b3dfa611d5c3e158a0c8b1,2,"[0, 1]"
74995918,0x693a0e4dd0ab1078c9da221ef304349adb594cd7bcdaf4ca6851ab7928d8a8a6,543,0xb6e5238be486c4d806fb9d2536cefa6092bd1a5f68dd06447c8d082c267aea18,0x58e1745bedda7312c4cddb72618923da1b90efde,0xe205084b41b750cbbfdd0cde5a41ca7cf1f1faf0e3fb774fa18cb244f6d7c646,2,"[1, 0]"
74995919,0x3fe96a3972507f6ed4c202e62bbc3a456283e15b7057752fc179c93d6afbedf5,11,0x604861e8fad36c55ae94a23175f237cf1d1c8ad81cb9b11220ab4022061a1565,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0xf6063d291381bd75b062d0be9f68786a6eb6a745ff092ed9a39dbe76aad6d496,2,"[0, 1]"
74995919,0x5fb235a7649dc78b5dc2a7c2741f0e71c1bbb618c40acbc2b6691e82d6318954,16,0x5a6a7a944917d11ef21247ef1a3aa377b540479bb5d547e190299695ea8ce87c,0x157ce2d672854c848c9b79c49a8cc6cc89176a49,0x29cf3ddb27a4c351f8c72444ee2a40593b9b244d80f3781ab6493704aaf15a94,2,"[0, 1]"
74995928,0x665f7c3cc19e417a61e5bc492e538b1206c7acf0ed39d3a4b62f9ca16c558fed,673,0x4eb3b849ae3771148ab8f82351e0c3d8ead088099e05635c95f403727de9505f,0x58e1745bedda7312c4cddb72618923da1b90efde,0x171a0d5e912cab2a5f007fa749629590cc3ccac69eeb3a5682ee017c690d2b7d,2,"[1, 0]"
