block_number,tx_hash,log_index,operator,from,to,id,value
74990000,0x42d463416ae2ff427563377ba5d3dcbe3eaa0e32cc64c12252fda584ea1db71e,986,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0xeffcc79a8572940cee2238b44eac89f2c48fda88,20101417678753007936152469234361246932369602137520249913315540208842785125605,2439022
74990000,0x42d463416ae2ff427563377ba5d3dcbe3eaa0e32cc64c12252fda584ea1db71e,988,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x4aa13462a40d3477a1c11748f52c11e2a4a574f9,63761233352525570727057714579524754637526846174034844441663088649452683485947,2439022
74990001,0x035064a4865ed678c7586dc7ded737baf9ef61005e86085a023b9126174ae798,584,0x8b31ef7156b778eb006dbeadbafc218859936a30,0x8b31ef7156b778eb006dbeadbafc218859936a30,0x0000000000000000000000000000000000000000,23376801107670886606412563076965825899021694878884015155307585909354252895926,20000000
74990001,0xbbf9b235d4743bacd396fece74a0781922f70b3cd86f1a10c685cdbac1f993ba,621,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0xc5d563a36ae78145c45a50134d48a1215220f80a,0x6f4737bef1cfb8bfe724a64311b6ec9a27e7338e,51488352560312598310831373966928016259740055077844992338776268060818515023121,20000000
74990001,0xbbf9b235d4743bacd396fece74a0781922f70b3cd86f1a10c685cdbac1f993ba,623,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0xc5d563a36ae78145c45a50134d48a1215220f80a,0xebf79787ab928c803cbef6fa8e0abe42b9e1da78,21936765934011237661853924023719061391361147454314472983410081760148477131432,20000000
74990001,0xb689f5cc8a5882d583c98cf6cd03fc23cd7e1d1d2279ec666b27dc4b4121e0d3,627,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0xdd84474a8fc7869059075d79ae869542de577d78,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,19701256321759583954581192053894521654935987478209343000964756587964612528044,21870000
74990001,0xb689f5cc8a5882d583c98cf6cd03fc23cd7e1d1d2279ec666b27dc4b4121e0d3,628,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0dfae545cadcc4d31c29a743ecb67f6af4c0c0e3,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,111217145027231733281098283820392455841371994535884663355944422820240423500204,21870000
74990002,0x93b18a475ca74a8045cd7f30146515885b42df9237373f246207f5996e333a2d,361,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,7657695835847791018689717113321675701059451635592929427241663379334511279097,18910000
74990002,0x93b18a475ca74a8045cd7f30146515885b42df9237373f246207f5996e333a2d,364,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x9ad091ca2e8f1bd69f27662edcb49dceeaa5bf3d,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,7657695835847791018689717113321675701059451635592929427241663379334511279097,3663362
74990002,0x93b18a475ca74a8045cd7f30146515885b42df9237373f246207f5996e333a2d,367,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0739e48bb44be87f051141a293f31dfd14f97ae2,7657695835847791018689717113321675701059451635592929427241663379334511279097,22573362
74990003,0x14013ccafda62422583582878ffae7d549504638a828f70fe7eee84c8c03656b,1120,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x8f8706af4b20fc0be818ec48b28ee435ac822439,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,19701256321759583954581192053894521654935987478209343000964756587964612528044,20580000
74990003,0x14013ccafda62422583582878ffae7d549504638a828f70fe7eee84c8c03656b,1121,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0x0dfae545cadcc4d31c29a743ecb67f6af4c0c0e3,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,111217145027231733281098283820392455841371994535884663355944422820240423500204,20580000
74990003,0xf8fe54ee1362786681736db2e2b501114cfc3c45d9b311d6bfae834ad754e997,1145,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0xc5d563a36ae78145c45a50134d48a1215220f80a,0x8795bcb2fe129d1ea3e3d73bc13a3d8078047544,81348194137409916653042584600783851833267327787429580219543064765434514810641,9859200
74990003,0xf8fe54ee1362786681736db2e2b501114cfc3c45d9b311d6bfae834ad754e997,1147,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0xc5d563a36ae78145c45a50134d48a1215220f80a,0x240f68658add158b993776306597adac37edd2fb,74008598243809029885860870497040796136250159431011479320835602474652145476642,9859200
