block_number,tx_hash,log_index,exchange,orderHash,maker,taker,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee
74999049,0x17c50146413b98b1b0566403256e9992d889266461845e40af0cc0dd5a205530,526,CTFExchange,0xc5efe070de31fecfbd57366c5a3b2a06a9b2448401d203280d52740292e82abb,0x8d3eb8cf3c1ae59c2f133c376c6fa1e2d37b3099,0xe41f3d665f97e8a2d1ae246d09d3a857c25c31ab,0,28904563994230344358126139632761289592940428766951866808651602602082941677787,950000,5000000,0
74999049,0x17c50146413b98b1b0566403256e9992d889266461845e40af0cc0dd5a205530,534,CTFExchange,0x46f2a4b26ed5348536ba19571f243417aa7c38b71cc5e21db8259d78636c677e,0xa6e99b1a63da99ec0f81d50ca0110c85693d7415,0xe41f3d665f97e8a2d1ae246d09d3a857c25c31ab,0,28904563994230344358126139632761289592940428766951866808651602602082941677787,950000,5000000,0
74999049,0x17c50146413b98b1b0566403256e9992d889266461845e40af0cc0dd5a205530,536,CTFExchange,0x3e31682ac94b39dd1ebb1c5ddd941dadd17a762d61624edc68b08bb19985b0e8,0xe41f3d665f97e8a2d1ae246d09d3a857c25c31ab,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,60652137523181125168482146963718096562535021607381944009168391719481583056075,8100000,10000000,0
74999049,0x1ba1a69b3c1923cbd4745c4064aff0d888c28e85add2f0b30c16ab27c36e4f04,548,CTFExchange,0x1691484c8907e1afe651644a00cac70a5571be25654c5cd344bc9ce1c0707f65,0x4e948fa5d984c0077bb8f0d2f8d0f7779f656243,0x15691449477aa15e72cdff51c7b6687b58bc4e0c,0,113978805798102557265452348965535499887600425153284104746797977930434676866992,429600000,1790000000,0
74999049,0x1ba1a69b3c1923cbd4745c4064aff0d888c28e85add2f0b30c16ab27c36e4f04,556,CTFExchange,0x25947418e0c8eb657fb4ae31493c2a02992edea39f7e7c27ea6fb40bb5e5bf63,0x4e948fa5d984c0077bb8f0d2f8d0f7779f656243,0x15691449477aa15e72cdff51c7b6687b58bc4e0c,0,113978805798102557265452348965535499887600425153284104746797977930434676866992,50400000,210000000,0
74999049,0x1ba1a69b3c1923cbd4745c4064aff0d888c28e85add2f0b30c16ab27c36e4f04,558,CTFExchange,0x5a249bb876b9edc845e41b5dafa52fa3c1a42a0776faf0c83106c3b0933ec242,0x15691449477aa15e72cdff51c7b6687b58bc4e0c,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,45268984206528684008656138445174696487413496817965370072225934538822928904287,1520000000,2000000000,0
74999050,0xcd8f0a5170afc2ef4ada4569fcb4fdf95d262ef49faa852d13a602fae2f387dd,1008,CTFExchange,0x5e09e60e4c7bed4d2e5e09e1ff9d78270e53dca4b9317fa2f94944ce3599e4d0,0xa3daab18a36ca9915f6544f42766694e771f3d6a,0x3bed3e9877d3a328906cd5ac1884236003624eb5,0,46779277213599126230120558346857483305790254031083044485517146560119899542406,276565,27656500,0
74999050,0xcd8f0a5170afc2ef4ada4569fcb4fdf95d262ef49faa852d13a602fae2f387dd,1010,CTFExchange,0x00bbfabc88a46cdf615ee746624996c7d3b43bc02813e2b3b41d4404f4039bcb,0x3bed3e9877d3a328906cd5ac1884236003624eb5,0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e,0,62055740682863142512173337338290591221935166579033473435319717410248279647733,27379935,27656500,0
74999050,0xb92be9fe0291d8f5c5f2fa657b1e7ea992980bcc1567e610162b4a5b5ffc4136,1026,CTFExchange,0x4d544f3bd9085b6e10e3f4748a9574bc28b362f0a394bcb9279440cf2fc7753d,0x12fbac8391c61f514567c95ff70a9c3485abb892,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,50619886345268251680827183109530226040393260254356722622284641975919224257268,0,30610000,29508040,0
74999050,0xb92be9fe0291d8f5c5f2fa657b1e7ea992980bcc1567e610162b4a5b5ffc4136,1029,CTFExchange,0x4845b1b459ce4395af86a32488a871caf956f9da6a52e2ae9b475d36b6846232,0x5734bf186e38cf8b361c90e02aa6d56d28c2f13a,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,50619886345268251680827183109530226040393260254356722622284641975919224257268,0,9990000,9640350,0
74999050,0xb92be9fe0291d8f5c5f2fa657b1e7ea992980bcc1567e610162b4a5b5ffc4136,1037,CTFExchange,0xcb5920e794937100f7ad7a3f100ccec7ef3e23bf6d4f99c7c7f362b7fc7c0901,0x4fadc974fb701b133055866022c89c5e0f7a1480,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,0,29762940832607806934314913893008556719411148293325132321706954252439865752507,3502000,103000000,0
74999050,0xb92be9fe0291d8f5c5f2fa657b1e7ea992980bcc1567e610162b4a5b5ffc4136,1045,CTFExchange,0xeb8e86739756302c7ed9e960be0f7daf84ebff8f93dfd6fd15c1d63ae3e422c8,0xa9a17207f78f18521868a51e94b763c3bd66c98a,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,0,29762940832607806934314913893008556719411148293325132321706954252439865752507,3333000,101000000,0
