block_number,tx_hash,log_index,fpmm,funder,amountsRemoved,collateralRemovedFromFeePool,sharesBurnt
15998772,0xc56f40372e7479872a3f894e3161f66d71988197a7abc0ab5a91e017dda793d3,441,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[852831583, 46902582]",1343434,200000000
15998792,0x1aaddfc23d09794a0973b0d0131dd6e794cccaf16f7d8c7e512777771d687526,411,0xb4bb481aa3e7925384619180b71bbc482420c9f3,0x7789806c754eb0af4c3abeb026c218b4ba78f823,"[132653920, 3693822572]",8361,700000000
15998806,0xf5735ebf2bc8fcf994cb974f78154eb1b9b37cd1e2b5e74aae427d9bbc81fc7c,316,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[431495004, 23175241]",248464,100000000
15999167,0x812f8612bee7b0949d22f893204b3dbf9ee52358211667426258f589cbf97d8e,249,0x656db0178f9bcb3f94864799950fb7e2d550e89b,0xf6129c47f5ef4cab25f3aa67b5e3aaac77b15700,"[199999995, 5479263]",1,33103663
15999284,0x9796551f71adab8b7c1f38d3932133107f9a03756bd4e0a5da7cb386aa3b4f6a,186,0x392845b73fe8975cb2bdf9cf09af0811fc6ee9e4,0x52b778f39b2f97aa3f826dc53e7ac48a10535bf9,"[1453339182, 37356786]",348107,233006601
15999306,0x056f1cbc49e4c2f3c2607c6d5332c704f9a47b34a6adc22c1fc5ae61c0d2fea1,284,0xb4bb481aa3e7925384619180b71bbc482420c9f3,0x346e6264495004ff771285fdbf7f59c28cabb0ed,"[37901120, 1055377877]",28545020,200000000
15999420,0x3ffa6764d0424516354b4e241b503ffa5ac24eb30ece98b54d024b782c6afbf5,184,0x514e63f5cc8a03d4afcef8c67770ec733409171d,0x7789806c754eb0af4c3abeb026c218b4ba78f823,"[1999999811, 328832252]",0,810965100
15999555,0x65709161f8e8d8ea26a2997035f20d11a2b4539e08e293086bbe51da670a86a8,173,0x514e63f5cc8a03d4afcef8c67770ec733409171d,0x4cc3522b689a6bf1fb4a2444c523e7776db47552,"[1676077333, 260775678]",50513,661120391
15999576,0xff0176059b3ceb3b91fddb627404d5aab08eecf49f2eebfcea4626469fb0349a,193,0xb4bb481aa3e7925384619180b71bbc482420c9f3,0x346e6264495004ff771285fdbf7f59c28cabb0ed,"[11087693, 324684324]",18852,60000000
15999703,0x64dfd7030f65179ac3812bcce465e2d06e682c04d0d5a4a2ff56da9846bcbaf5,153,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[1038967022, 60155909]",796662,250000000
15999723,0xbfc62d1bc1f689ad38d1e56034ad1707906f188cfa957120ac8fef91bf9b395a,164,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[636707330, 35338060]",418070,150000000
15999743,0x4224a6462b9664fd5e5dae022dbae82eda75d3facdff14c88d77977728c3dfba,374,0x2690000e40f746dad3157f95848cecbe5857dd5b,0xaaf4acafbb7980ce93631d238eb10a5c4ca67883,"[642547620, 35016863]",171320,150000000
