block_number,tx_hash,log_index,conditionId,oracle,questionId,outcomeSlotCount
74991688,0xdab1f3258a5d04d3d8ce4d9c15e92eb2e1d4215a04f6b6573d5d53cb3e5b6420,328,0x9d7987351484919ee5fe616090baabbb7543b633ef8e41e62fc821cbccb1e9f1,0x58e1745bedda7312c4cddb72618923da1b90efde,0xc676224764254d860dd47ec6661e1f127483e3eb8174f7c788feb1f34a11311a,2
74991791,0x4572af89a695f67839ba6962694e08e52fbd144fb07dce4498734f6ce9dc6163,15,0xb68b02dd6f82cbe612ad6974f8521a661d2ca0533381ec1ef9df9a0fa07206d0,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0xbe49a72bdcd224b5bdbab67bafb06c5f8e6f985c3a4da1169d7b51be53c29800,2
74991796,0x781fc2a1693deaec525bcfaa371b13b796920f86b38a0dffa2a40299937ad03d,32,0x079178d986e4804419854087ce356e433f85bebeb5502a84fa1021fef55380a8,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0xbe49a72bdcd224b5bdbab67bafb06c5f8e6f985c3a4da1169d7b51be53c29801,2
74991800,0xc48bfd435107e732fed4dc73b3fc563558faf46c4eb0ee7e81c2ecb44f155623,4,0x3e3f9df9d4bdc6940ed3a6effe977cf7bf250ae2bcafc64d88450aa3e6c5f90c,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0xbe49a72bdcd224b5bdbab67bafb06c5f8e6f985c3a4da1169d7b51be53c29802,2
74991804,0x01263148aa7355b3195b1814d8f50d6af4f3045b4b5cf49ff311e1ae9406c77b,14,0x33f50c90d5481f7b69c4dea6c892efa7d992705b87eed0c53bbdfb44ec4e18cf,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0xbe49a72bdcd224b5bdbab67bafb06c5f8e6f985c3a4da1169d7b51be53c29803,2
74991808,0x271597e4ac0cd5ddd964664a896144f13c2384fed04229dcd19c81635308ffc4,40,0x2db21919e9b5111f179b231663a885534e23fdceaaecf87bd79cbef56ec90733,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0xbe49a72bdcd224b5bdbab67bafb06c5f8e6f985c3a4da1169d7b51be53c29804,2
74991877,0x07bddfca9e5306b79203ac83f6530443533c4e6918c4dcf0afb88c02d5ddcc88,12,0xaa1c12fc6e16999d6140d2c4644e9373a333223bad267e40af91424692056da0,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x5d56f6eb654c23fb48e0bc80259a3c9b3d3326f92a3b6436443fa9c45cfbb600,2
74991882,0x6adf0b9377095997b6942d40d8c69928170ce163d96c28b27b61f07ec692bc74,13,0x8269a448c49ff6bf93357584772195fb3b4a7ba60a6b4100563da152bf6bfb09,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x5d56f6eb654c23fb48e0bc80259a3c9b3d3326f92a3b6436443fa9c45cfbb601,2
74991887,0x75b5e259b9a96c5f6b92d60384d88a0d8fc7d4dfc77ca8758a0e6b16319ecf9f,15,0x4bde32a644502f2469d54572750e47eb2ea04defa1165546de351d6035f477e0,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x5d56f6eb654c23fb48e0bc80259a3c9b3d3326f92a3b6436443fa9c45cfbb602,2
74991891,0x889d788159f18627f3489566cb0597394fcb5c90f255f26041cf9324dac8ea6c,15,0xcb894f6ce101fb35679607913513899bc8ed2d332bb8f889dc8296d177e7be8c,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x5d56f6eb654c23fb48e0bc80259a3c9b3d3326f92a3b6436443fa9c45cfbb603,2
74991896,0x79fe35466738166301ffc31d12bab48f6d1aa523ccc2930bd3976d1ce188560f,5,0xb5f88a8d321d9e4e92a8e89b24544bbcb7e7d87b7ba5f8c88d217020758ecfc6,0xd91e80cf2e7be2e162c6513ced06f1dd0da35296,0x5d56f6eb654c23fb48e0bc80259a3c9b3d3326f92a3b6436443fa9c45cfbb604,2
74992116,0x1830c44787861a77842ede40737dca358a3593c514426e00de0d624cbdc54a46,777,0x32826cbbc7be377814d87e8531bb3d7a9c6778937aca98759490512a50f3dfc2,0x58e1745bedda7312c4cddb72618923da1b90efde,0x078a313485af8262409ed8bd41968d436bfc4740dcf92e6b47d06772decbe57d,2
74992117,0xa6d2229184c35f48eb9766c508919ecd676a5962dbdecd30dbbf4979d28b96dc,801,0x2b0d60a604c8c83d4fcb5ad0ad1869d9c764746c1171b349f61f22fa60da5200,0x58e1745bedda7312c4cddb72618923da1b90efde,0x740bc480e16aeea3ffa12de370a6f57c3de17051c019d9cb47d456b37e25e713,2
74992431,0x3eda4e02acf5592351c57bd4328520403537b8693cfa88834b900441968ac794,369,0x9b7e4d0cf36bf087ef11f1c4bd64e0dccd66d9bd9c7eb3044d42ea626e1461c9,0x1754f0f64de768f3c7c5f9335ff1129db2c14a40,0x3dc5c2a370218c619a87d9e2ec7fa72b2cf4dc031b9e191f956a7e5ba24a359e,2
74992534,0xedfc1a75ca3a5b48495a4acfe3dce6c62a5ecb6f9ba56ffa0a507cdf31707150,319,0x0dfc4176806b56787ffc4dc4d5f16e903de6a24b0ecf22222e71049ae60f1482,0x58e1745bedda7312c4cddb72618923da1b90efde,0x7c09d01ff5e91f6c2f5a0c7d86377b5ea649d0111ad709ccdd5e5f05e5641a94,2
74992535,0x7974ea0bf6aeafbe0f182465dca17946c75e0591c59366cef7017bff87f6bd64,1076,0x439b36e9e7d1f3d7de45b052dc76ca54167b592a2039f993762125f77bd28037,0x58e1745bedda7312c4cddb72618923da1b90efde,0x96d2564b343e0f7b7903bca40d7652e67560dd4f999414b0caaeed98b934f461,2
74992957,0x647392d26c7b52e4ba2aab93efcd814395acadcc660ebf31f3bc977e51467d7b,484,0x8f48855e451e0dad6a062d849b55902d44efe65dd092c909b59e8fb5e545d060,0x58e1745bedda7312c4cddb72618923da1b90efde,0xc83ce7d3852acf877aa94b00b21159ac867495fc90b48610bd855107348f671f,2
74992959,0x8d2cbc1dfa0cdae1ce5a626bbf27b0a408540a1bfe9f7bb435b82eb63b54071c,651,0x871a52aa316c30b966c88339d6821ca07649d437ce658d1b1a241f6e012acf38,0x58e1745bedda7312c4cddb72618923da1b90efde,0x64bc80833037f4b96fad7c34ce0448b045b53f7352cdb49b289a648a14e51b4c,2
74993381,0x940797aa50fdea47bf6f54a73a483344b89161fcbefdcaa85655ae43f41c70e2,1369,0x48825e521e0e0e5032f26ccb390574bc6061ee306fb8266c9bdcc83f604e9aa7,0x58e1745bedda7312c4cddb72618923da1b90efde,0xf32f182ad144b5d409132bcec47722a3668dbbf40777659048303c27cce19fc1,2
74993383,0xe4f214ca8bfe1cac469b763281d687239da1e787558d04eb94b79c57e9c0579d,908,0xc8460e55f18b18e10d48da92f53005c17a789abeb64b8acc03718186a55b5f24,0x58e1745bedda7312c4cddb72618923da1b90efde,0xfdba92e9c1f461e88f7d1660d51d9743c6142192c5f0b4ec4c020c26da3e9ad6,2
74993803,0xc04dfc89b9ae5d1fd058826006b69afe1264d5a16abbeef3870af920d3723666,702,0xfe3700e7d947902cd23279a6beb1f725a455e70599cbf2e20e636fa87154130a,0x58e1745bedda7312c4cddb72618923da1b90efde,0x8d3612d09a820fdb07cef11634ba32cbe580d844218fbc5bb590e7682cd89c8e,2
